,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
86,133248.08171317604,224031.72802183777,1134284.516088094,51278.270114292194,20243.10069864045,378285.0
87,139165.88718921904,244730.38801731405,1056922.0099123216,46300.58415119566,17748.431133483587,385036.0
88,137542.90353179548,242818.80948867335,984667.0787691415,41805.943602759166,15561.128182973847,390516.0
89,130891.04508847721,240904.54289593347,917205.4167536307,37747.50017249862,13643.336526539904,395489.0
90,123236.27302668717,217111.49966832888,854238.8996883942,34082.94408106968,11961.859611947188,402697.0
91,117786.92276295554,195665.18631623665,795485.2099369281,30774.065327813896,10487.587121198707,408449.0
92,117036.193349897,194097.18620580668,740677.3925376916,27786.357191387106,9194.992609757566,416179.0
93,122362.64490511215,192530.50725365506,689563.3587327392,25088.657935159463,8061.692761729123,424637.0
94,131591.8957195089,210184.0647490026,641905.3506243438,22652.82706240782,7068.060737059196,434193.0
95,138191.0569642475,229423.6805950021,597479.3786224552,20453.452811106126,6196.886997789625,439046.0
96,137747.8312833425,227514.24481222016,556074.6415227096,18467.58789129045,5433.081802906771,443813.0
97,131894.8329844548,225605.28175132434,517492.93745647196,16674.510752266026,4763.414267821447,449961.0
98,124476.07360910045,203271.67402889294,481548.07255955675,15055.509924845683,4176.283506181945,456100.0
99,118752.48499297457,183146.16588933373,448065.2729939147,13593.689217705825,3661.5179184856574,462690.0
100,117243.39920220015,181587.2230281878,416880.6049074817,12273.791758951476,3210.199172650602,469407.0
101,121500.17654580841,180031.73888932515,484953.6731448944,15456.616578904952,2814.5078441730507,475902.0
102,130074.85814429921,196393.8065140417,563810.9216813747,19464.359112110364,2467.588054672644,480278.0
103,137158.71620106202,214214.52982810044,655043.9052912815,24510.55700082728,2163.428773652594,485836.0
104,137803.87394291887,212329.44749396975,760438.012349995,30863.87020921448,1896.7597346054345,492522.0
105,132764.69408560763,210447.56427660247,881981.3958292075,38862.22010655126,1662.9601679630803,498380.0
106,125632.31291674098,208569.2121758401,1021868.4069687686,48930.50247220609,1457.978774047972,505751.0
107,119705.59928197913,187871.7398378682,1182494.8758378543,61602.74677515421,1278.2635528511964,511369.0
